Soft Totals,2,3,4,5,6,7,8,9,10,A
"A,2",H,H,H,H,D,H,H,H,H,H
"A,3",H,H,H,D,D,H,H,H,H,H
"A,4",H,H,H,D,D,H,H,H,H,H
"A,5",H,H,D,D,D,H,H,H,H,H
"A,6",H,D,D,D,D,H,H,H,H,H
"A,7",S,D,D,D,D,S,S,H,H,H
"A,8",S,S,S,S,S,S,S,S,S,S
"A,9",S,S,S,S,S,S,S,S,S,S
