table,row,dealer,base_best,var_best,base_ev_hit,base_ev_stand,base_ev_double,base_ev_split,base_ev_surrender,var_ev_hit,var_ev_stand,var_ev_double,var_ev_split,var_ev_surrender
Pairs,"6,6",A,hit,surrender,-0.518539,-0.769427,-1.142209,-0.971038,,-0.518539,-0.769427,-1.142209,-0.971038,-0.500000
Pairs,"7,7",10,hit,surrender,-0.500498,-0.575782,-1.008086,-0.730156,,-0.500498,-0.575782,-1.008086,-0.730156,-0.500000
Pairs,"7,7",A,hit,surrender,-0.584862,-0.769427,-1.213154,-0.993856,,-0.584862,-0.769427,-1.213154,-0.993856,-0.500000
Pairs,"8,8",10,hit,surrender,-0.569307,-0.575782,-1.138614,-0.603555,,-0.569307,-0.575782,-1.138614,-0.603555,-0.500000
Pairs,"8,8",A,hit,surrender,-0.642050,-0.769427,-1.284099,-0.845489,,-0.642050,-0.769427,-1.284099,-0.845489,-0.500000
